iter	Passed	Remaining
0	1	110
1	2	101
2	3	97
3	3	94
4	4	92
5	5	91
6	6	89
7	7	90
8	9	92
9	10	92
10	11	92
11	12	91
12	13	90
13	14	88
14	15	86
15	16	85
16	17	83
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	76
23	23	74
24	24	73
25	25	72
26	26	71
27	27	69
28	28	68
29	29	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	55
42	40	54
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	42
55	52	41
56	53	40
57	55	39
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	98	2
98	99	1
99	100	0
