iter	Passed	Remaining
0	165	164841
1	166	83046
2	167	55747
3	169	42109
4	170	33939
5	171	28487
6	175	24952
7	177	22011
8	178	19696
9	180	17846
10	181	16328
11	182	15064
12	184	14001
13	185	13084
14	187	12311
15	189	11658
16	190	11028
17	191	10457
18	192	9946
19	193	9485
20	194	9069
21	195	8693
22	196	8354
23	197	8038
24	198	7752
25	199	7484
26	200	7236
27	203	7058
28	204	6854
29	205	6651
30	206	6462
31	207	6284
32	208	6117
33	209	5960
34	210	5811
35	211	5670
36	212	5542
37	214	5417
38	215	5298
39	216	5195
40	218	5105
41	219	5007
42	220	4913
43	222	4827
44	223	4744
45	224	4658
46	225	4575
47	226	4494
48	227	4418
49	228	4345
50	229	4275
51	231	4224
52	232	4162
53	233	4097
54	234	4035
55	235	3974
56	236	3915
57	237	3859
58	238	3807
59	239	3754
60	240	3703
61	241	3654
62	242	3606
63	243	3559
64	244	3522
65	246	3492
66	247	3450
67	248	3409
68	249	3368
69	250	3329
70	251	3292
71	252	3255
72	253	3219
73	254	3183
74	255	3149
75	256	3115
76	257	3082
77	258	3050
78	258	3018
79	261	3002
80	262	2975
81	263	2946
82	263	2912
83	264	2885
84	265	2858
85	266	2832
86	267	2806
87	268	2781
88	269	2756
89	270	2732
90	271	2708
91	272	2685
92	273	2662
93	274	2645
94	276	2630
95	277	2609
96	278	2588
97	278	2567
98	279	2547
99	280	2528
100	281	2508
101	282	2489
102	283	2471
103	284	2452
104	285	2434
105	286	2416
106	287	2398
107	288	2381
108	290	2374
109	291	2360
110	292	2344
111	293	2328
112	294	2312
113	295	2297
114	296	2281
115	297	2266
116	298	2249
117	299	2235
118	299	2220
119	300	2206
120	301	2192
121	302	2177
122	303	2163
123	306	2162
124	307	2150
125	308	2138
126	308	2123
127	309	2111
128	310	2099
129	311	2086
130	312	2074
131	313	2062
132	314	2050
133	315	2038
134	316	2027
135	317	2016
136	318	2004
137	320	2000
138	321	1992
139	322	1982
140	323	1973
141	324	1962
142	326	1954
143	327	1945
144	328	1935
145	329	1925
146	330	1915
147	330	1905
148	331	1895
149	332	1885
150	334	1879
151	336	1875
152	337	1867
153	338	1858
154	339	1848
155	340	1840
156	341	1831
157	341	1822
158	342	1813
159	343	1805
160	344	1795
161	345	1786
162	346	1778
163	347	1770
164	348	1761
165	350	1761
166	351	1754
167	352	1746
168	353	1738
169	354	1731
170	355	1724
171	356	1716
172	357	1709
173	358	1701
174	359	1694
175	360	1686
176	361	1679
177	362	1672
178	363	1665
179	365	1664
180	367	1663
181	368	1658
182	370	1653
183	371	1647
184	372	1642
185	374	1638
186	375	1634
187	377	1629
188	378	1623
189	380	1622
190	381	1617
191	382	1611
192	383	1604
193	384	1598
194	385	1591
195	386	1585
196	387	1579
197	388	1573
198	389	1566
199	390	1560
200	391	1554
201	392	1548
202	392	1542
203	394	1539
204	396	1536
205	397	1531
206	398	1525
207	399	1519
208	399	1513
209	400	1508
210	401	1502
211	402	1497
212	403	1491
213	404	1486
214	405	1480
215	406	1475
216	407	1469
217	408	1465
218	410	1462
219	411	1458
220	412	1454
221	413	1449
222	415	1446
223	416	1442
224	417	1436
225	418	1431
226	419	1426
227	419	1421
228	420	1417
229	421	1412
230	423	1409
231	426	1412
232	427	1407
233	428	1402
234	429	1397
235	430	1393
236	431	1388
237	432	1383
238	432	1378
239	433	1373
240	435	1370
241	436	1366
242	437	1362
243	438	1358
244	440	1357
245	441	1352
246	442	1348
247	443	1343
248	444	1339
249	445	1335
250	445	1330
251	446	1326
252	447	1321
253	448	1317
254	449	1313
255	450	1309
256	451	1304
257	452	1300
258	453	1297
259	455	1295
260	456	1292
261	457	1288
262	458	1284
263	459	1280
264	460	1276
265	461	1272
266	462	1268
267	463	1264
268	463	1260
269	464	1256
270	465	1252
271	466	1249
272	467	1245
273	469	1244
274	470	1241
275	471	1238
276	472	1234
277	473	1230
278	474	1226
279	475	1223
280	476	1219
281	477	1216
282	478	1212
283	479	1208
284	480	1205
285	481	1201
286	482	1198
287	483	1195
288	485	1194
289	486	1191
290	487	1187
291	488	1184
292	489	1180
293	490	1177
294	491	1174
295	492	1170
296	493	1167
297	494	1164
298	495	1160
299	495	1157
300	496	1153
301	497	1150
302	500	1150
303	501	1147
304	502	1144
305	503	1141
306	504	1138
307	505	1134
308	506	1131
309	506	1128
310	507	1125
311	508	1121
312	509	1118
313	510	1115
314	511	1112
315	512	1109
316	514	1107
317	515	1105
318	516	1103
319	517	1100
320	519	1098
321	520	1096
322	521	1093
323	522	1090
324	523	1087
325	524	1084
326	525	1081
327	526	1078
328	527	1075
329	528	1073
330	530	1071
331	531	1068
332	532	1065
333	532	1062
334	533	1059
335	534	1056
336	535	1053
337	536	1050
338	537	1048
339	538	1045
340	539	1042
341	540	1039
342	541	1036
343	542	1033
344	544	1033
345	545	1031
346	546	1028
347	547	1026
348	548	1023
349	549	1020
350	550	1017
351	551	1014
352	552	1012
353	553	1009
354	553	1006
355	554	1003
356	555	1000
357	556	998
358	558	996
359	559	995
360	560	992
361	561	990
362	562	987
363	563	984
364	564	982
365	565	979
366	566	977
367	567	974
368	568	971
369	569	969
370	570	966
371	571	964
372	572	961
373	575	962
374	576	960
375	576	957
376	577	954
377	578	952
378	579	949
379	580	947
380	581	944
381	582	942
382	583	939
383	584	937
384	585	934
385	586	932
386	587	929
387	589	930
388	590	927
389	591	925
390	592	922
391	593	920
392	594	918
393	595	915
394	596	913
395	597	910
396	598	908
397	599	906
398	599	903
399	600	901
400	602	899
401	604	898
402	605	896
403	606	894
404	607	892
405	608	890
406	610	888
407	611	886
408	612	884
409	612	882
410	613	879
411	614	877
412	615	875
413	616	873
414	620	874
415	621	872
416	622	869
417	623	867
418	624	865
419	624	863
420	625	860
421	626	858
422	627	856
423	628	854
424	629	851
425	630	849
426	631	847
427	632	845
428	634	844
429	635	842
430	636	840
431	637	838
432	638	836
433	639	833
434	640	831
435	641	829
436	642	827
437	643	825
438	644	823
439	645	821
440	646	819
441	649	819
442	651	818
443	652	816
444	653	814
445	654	813
446	656	811
447	657	810
448	658	808
449	659	806
450	660	804
451	661	802
452	663	800
453	665	799
454	666	797
455	667	795
456	667	793
457	668	791
458	669	789
459	670	787
460	671	785
461	672	783
462	673	781
463	674	779
464	675	777
465	676	775
466	677	773
467	679	772
468	680	770
469	681	768
470	682	766
471	683	764
472	684	762
473	684	760
474	686	758
475	686	756
476	687	754
477	688	752
478	689	750
479	690	748
480	691	746
481	693	745
482	694	743
483	695	741
484	696	739
485	697	737
486	698	736
487	700	734
488	701	732
489	702	730
490	703	728
491	704	726
492	704	724
493	705	722
494	706	721
495	708	720
496	709	718
497	710	716
498	711	714
499	712	712
500	713	711
501	715	709
502	717	708
503	718	707
504	719	705
505	721	703
506	723	703
507	725	702
508	726	700
509	727	698
510	728	697
511	729	695
512	731	694
513	732	692
514	733	690
